#node	date	numeric date
NODE_0000445	-137024361-01-19	-137024360.949598
NODE_0000433	-136064237-03-14	-136064236.801015
CCCP00107	-131997976-01-01	-131997976.000000
NODE_0000434	-135275135-08-05	-135275134.406385
GMNZL649-14|Anthribidae|Anthribidae|New_Zealand|Waikato|BIOUG_NZ	-131997976-01-01	-131997976.000000
JICCB1240-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000455	-137024361-01-19	-137024360.949598
JCCCF583-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000437	-135688919-01-31	-135688918.916201
CNBPN569-13|Ormiscus_saltator|Anthribidae|Canada|Ontario|BIOUG_BRUCE-NP	-131997976-01-01	-131997976.000000
NODE_0000438	-135127061-01-11	-135127060.971325
GMACO089-15|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|BIOUG_ACG	-131997976-01-01	-131997976.000000
NODE_0000439	-134890521-10-09	-134890520.229631
GMNGF113-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
GBDL01457	-131997976-01-01	-131997976.000000
NODE_0000448	-137263975-05-08	-137263974.650451
NODE_0000449	-136628529-06-15	-136628528.547552
NODE_0000450	-135467476-01-28	-135467475.923684
GMMDN2587-15|Anthribidae|Anthribidae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-131997976-01-01	-131997976.000000
GMMDN2556-15|Anthribidae|Anthribidae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-131997976-01-01	-131997976.000000
NODE_0000451	-136186937-02-11	-136186936.886955
GMNZU289-14|Anthribidae|Anthribidae|New_Zealand|Waikato|BIOUG_NZ	-131997976-01-01	-131997976.000000
NODE_0000452	-135627999-10-02	-135627998.246754
GMPRI297-16|Anthribidae|Anthribidae|Puerto_Rico|Mayaguez|	-131997976-01-01	-131997976.000000
NODE_0000453	-133742195-03-05	-133742194.826660
GMCCS214-18|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	--	--
JIFFL237-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000454	-136790104-08-31	-136790103.334735
NODE_0000456	-136617992-10-23	-136617991.190526
JCCCC1513-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
JICCA1745-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000475	-136790104-08-31	-136790103.334735
GMGGE331-17|Epicerastes|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
NODE_0000457	-135670046-05-19	-135670045.619428
NODE_0000477	-135670046-05-19	-135670045.619428
NODE_0000463	-135139214-11-18	-135139213.118382
JCCCC1372-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000464	-133896539-10-17	-133896538.207123
GMHJC017-14|Anthribidae|Anthribidae|Honduras|Cortes|	-131997976-01-01	-131997976.000000
NODE_0000465	-133824065-07-13	-133824064.469615
BIOD07943	-131997976-01-01	-131997976.000000
GMCRB141-13|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|BIOUG_ACG	-131997976-01-01	-131997976.000000
NODE_0000458	-134622846-06-07	-134622845.569343
NODE_0000459	-132261559-07-31	-132261558.419385
JICBF133-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
JICBH123-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000460	-134035838-10-14	-134035837.215286
GMHKB151-15|Anthribidae|Anthribidae|Honduras|Cortes|	-131997976-01-01	-131997976.000000
NODE_0000461	-132010255-07-23	-132010254.442928
BIOD05107	-131997976-01-01	-131997976.000000
BIOD07644	-131997976-01-01	-131997976.000000
NODE_0000466	-135199091-10-03	-135199090.245498
NODE_0000467	-134796135-10-04	-134796134.242408
GMHDL1119-13|Anthribidae|Anthribidae|Honduras|Cortes|BIOUG_CUSU-NP_2	-131997976-01-01	-131997976.000000
NODE_0000468	-132010255-07-23	-132010254.442928
BIOD08984	-131997976-01-01	-131997976.000000
BIOD04042	-131997976-01-01	-131997976.000000
NODE_0000469	-134660740-09-28	-134660739.258533
NODE_0000470	-132488434-01-22	-132488433.940544
HPPPE1409-13|Anthribidae|Anthribidae|Canada|Nova_Scotia|BIOUG_HALIFAX	-131997976-01-01	-131997976.000000
NODE_0000471	-132010255-07-23	-132010254.442928
GMGSM654-13|Ormiscus_walshii|Anthribidae|United_States|Tennessee|BIOUG_GSM-NP	-131997976-01-01	-131997976.000000
GMCTB131-17|Ormiscus_walshii|Anthribidae|Canada|Ontario|	-131997976-01-01	-131997976.000000
NODE_0000472	-134124926-07-18	-134124925.454800
JIBBS046-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000473	-132863522-10-24	-132863521.188311
GMHMI293-15|Anthribidae|Anthribidae|Honduras|Cortes|	-131997976-01-01	-131997976.000000
NODE_0000474	-132181547-04-28	-132181546.678978
GMHMT347-16|Anthribidae|Anthribidae|Honduras|Cortes|	-131997976-01-01	-131997976.000000
BIOD08366	-131997976-01-01	-131997976.000000
NODE_0000494	-139325474-08-20	-139325473.364873
NODE_0000495	-139324180-04-02	-139324179.748293
NODE_0000496	-139324180-04-02	-139324179.748293
NODE_0000023	-137684412-08-19	-137684411.368304
GMNGC125-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
NODE_0000024	-137021808-02-15	-137021807.875690
GMNGY554-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
NODE_0000025	-135146805-03-31	-135146804.754698
GMASE056-17|Anthribidae|Anthribidae|Australia|South_Australia|	-131997976-01-01	-131997976.000000
BIOD08076	-131997976-01-01	-131997976.000000
NODE_0000500	-139324180-04-02	-139324179.748293
NODE_0000027	-136893917-05-07	-136893916.654361
GMNZW159-14|Anthribidae|Anthribidae|New_Zealand|Waikato|BIOUG_NZ	-131997976-01-01	-131997976.000000
NODE_0000028	-132363652-05-12	-132363651.640514
CNROQ416-13|Euparius_paganus|Anthribidae|Canada|Ontario|BIOUG_ROUGE-NP	-131997976-01-01	-131997976.000000
SRAA00015	-131997976-01-01	-131997976.000000
NODE_0000503	-139315451-08-14	-139315450.381297
GBDL01308	-131997976-01-01	-131997976.000000
NODE_0000504	-139315451-08-14	-139315450.381297
BIOD05953	-131997976-01-01	-131997976.000000
GBDL01312	-131997976-01-01	-131997976.000000
NODE_0000505	-139324180-04-02	-139324179.748293
NODE_0000270	-138102714-02-24	-138102713.849341
NODE_0000507	-138102714-02-24	-138102713.849341
JIAAL032-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
GMMGT112-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
